dimension,lambda,alpha,epsilon,shift_type,model_type,target_mode,n_train,n_test,sigma,seed,kl_divergence,chi_squared_divergence,chi2_weight_mean,chi2_weight_variance,ess,weight_mean,weight_variance,weight_max,weight_min,weight_q1,weight_median,weight_q3,train_mse,test_mse,train_rmse,test_rmse,generalisation_gap
2,0.0,1.5,0.1,combined,rbf_svr,linear,1000,1000,0.1,0,0.00038403142335627626,0.0023718520005111543,1.000020775521768,0.0023303005253530683,997.7281359607949,0.9991189463556382,0.0022753018436737936,1.4502995797293758,0.9666723036116872,0.9729805631375072,0.9848892817368564,1.004341264904111,0.016906711401992795,0.030788425193221683,0.13002581052234513,0.1754663078577243,0.013881713791228888
2,0.0,1.5,0.1,combined,rbf_svr,linear,1000,1000,0.1,1,0.0017284460227791761,0.007552703773873848,1.001178778817454,0.005193756619465601,997.8559274311103,0.9986826424439678,0.0021451672314347996,1.6456666036293313,0.9667135106969627,0.9739924252150824,0.9854703271405048,1.0035858106643571,0.01778785610497299,0.0262604396481314,0.13337112170546137,0.1620507317111879,0.00847258354315841
2,0.0,1.5,0.1,combined,rbf_svr,linear,1000,1000,0.1,2,0.0015540842974328941,0.0010312729516568364,0.9994040701096495,0.002222777599923471,998.0701631477283,0.9976213107119428,0.0019263068544592948,1.359123866369985,0.9666781893599445,0.9729757918147979,0.9827505734941342,1.003390823408985,0.013035067086958308,0.033469911899757336,0.11417121829497269,0.18294783928693265,0.02043484481279903
2,0.0,1.5,0.2,mean,ols,linear,1000,1000,0.1,0,-1.1102230246251566e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.010071505478150807,0.010863174764112164,0.1003568905364789,0.1042265549853403,0.0007916692859613571
2,0.0,1.5,0.2,mean,ols,linear,1000,1000,0.1,1,-5.551115123125783e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.009918032627767298,0.010790877242066406,0.09958931984789984,0.10387914729177558,0.0008728446142991075
2,0.0,1.5,0.2,mean,ols,linear,1000,1000,0.1,2,-3.7747582837255325e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.00981590559144587,0.009968315872740418,0.09907525216443241,0.09984145367902261,0.0001524102812945488
2,0.0,1.5,0.2,combined,ols,linear,1000,1000,0.1,0,0.002670358655849803,0.009404305914972877,1.0000415510435356,0.009321202101412272,990.9582653060261,0.9982378927112766,0.009101207374695176,1.9005991594587517,0.9333446072233744,0.9459611262750145,0.969778563473713,1.008682529808222,0.010071505478150807,0.010863416476536575,0.1003568905364789,0.10422771453186803,0.000791910998385768
2,0.0,1.5,0.2,combined,ols,linear,1000,1000,0.1,1,0.005633142785439398,0.025495699825679896,1.0023575576349077,0.02077502647786242,991.4561883401745,0.9973652848879355,0.008580668925739193,2.2913332072586625,0.9334270213939253,0.947984850430165,0.9709406542810095,1.007171621328714,0.009918032627767298,0.010789814127071043,0.09958931984789984,0.10387403008967662,0.0008717814993037445
2,0.0,1.5,0.2,combined,ols,linear,1000,1000,0.1,2,0.004804631566040721,0.006508811368028722,0.9988081402192991,0.008891110399693881,992.2886389832798,0.9952426214238855,0.007705227417837182,1.71824773273997,0.933356378719889,0.9459515836295957,0.9655011469882684,1.0067816468179698,0.00981590559144587,0.009969032674845892,0.09907525216443241,0.09984504331636043,0.00015312708340002243
2,0.0,1.5,0.2,mean,rbf_svr,linear,1000,1000,0.1,0,-1.1102230246251566e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.016906711401992795,0.018794210473815604,0.13002581052234513,0.1370919781526826,0.001887499071822809
2,0.0,1.5,0.2,mean,rbf_svr,linear,1000,1000,0.1,1,-5.551115123125783e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.01778785610497299,0.0225845760046404,0.13337112170546137,0.15028165558257733,0.004796719899667411
2,0.0,1.5,0.2,mean,rbf_svr,linear,1000,1000,0.1,2,-3.7747582837255325e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.013035067086958308,0.027444107556174113,0.11417121829497269,0.1656626317434747,0.014409040469215805
2,0.0,1.5,0.2,combined,rbf_svr,linear,1000,1000,0.1,0,0.002670358655849803,0.009404305914972877,1.0000415510435356,0.009321202101412272,990.9582653060261,0.9982378927112766,0.009101207374695176,1.9005991594587517,0.9333446072233744,0.9459611262750145,0.969778563473713,1.008682529808222,0.016906711401992795,0.04148064210661719,0.13002581052234513,0.20366797025211694,0.024573930704624398
2,0.0,1.5,0.2,combined,rbf_svr,linear,1000,1000,0.1,1,0.005633142785439398,0.025495699825679896,1.0023575576349077,0.02077502647786242,991.4561883401745,0.9973652848879355,0.008580668925739193,2.2913332072586625,0.9334270213939253,0.947984850430165,0.9709406542810095,1.007171621328714,0.01778785610497299,0.03145141762773022,0.13337112170546137,0.1773454753517276,0.013663561522757228
2,0.0,1.5,0.2,combined,rbf_svr,linear,1000,1000,0.1,2,0.004804631566040721,0.006508811368028722,0.9988081402192991,0.008891110399693881,992.2886389832798,0.9952426214238855,0.007705227417837182,1.71824773273997,0.933356378719889,0.9459515836295957,0.9655011469882684,1.0067816468179698,0.013035067086958308,0.03429288640063878,0.11417121829497269,0.18518338586557592,0.021257819313680475
2,0.0,1.5,0.3,mean,ols,linear,1000,1000,0.1,0,1.2745360322696796e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.010071505478150807,0.010857750417920215,0.1003568905364789,0.10420052983512232,0.0007862449397694083
2,0.0,1.5,0.3,mean,ols,linear,1000,1000,0.1,1,1.2878587085651815e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.009918032627767298,0.010783073909334733,0.09958931984789984,0.10384158083029521,0.0008650412815674347
2,0.0,1.5,0.3,mean,ols,linear,1000,1000,0.1,2,1.3433698597964394e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.00981590559144587,0.009967438673335686,0.09907525216443241,0.09983706062047143,0.00015153308188981668
2,0.0,1.5,0.3,combined,ols,linear,1000,1000,0.1,0,0.0064308791891010695,0.02109736174338539,1.0000623265653037,0.020972704728177596,979.8486168682653,0.9973568390669145,0.02047771659306415,2.3508987391881275,0.9000169108350615,0.9189416894125216,0.9546678452105695,1.0130237947123333,0.010071505478150807,0.010857461724781402,0.1003568905364789,0.10419914454918237,0.0007859562466305953
2,0.0,1.5,0.3,combined,ols,linear,1000,1000,0.1,1,0.011076573017772878,0.05382898815541792,1.0035363364523617,0.046743809575190365,980.9301721373612,0.9960479273319034,0.019306505082913192,2.9369998108879933,0.9001405320908878,0.9219772756452473,0.956410981421514,1.010757431993071,0.009918032627767298,0.010781049693753071,0.09958931984789984,0.10383183372045912,0.000863017065985773
2,0.0,1.5,0.3,combined,ols,linear,1000,1000,0.1,2,0.009339505794995368,0.0164326152491161,0.9982122103289485,0.020004998399311198,982.7340685988906,0.9928639321358282,0.01733676169013368,2.0773715991099544,0.9000345680798334,0.9189273754443936,0.9482517204824026,1.0101724702269546,0.00981590559144587,0.00996874670311962,0.09907525216443241,0.09984361122835862,0.0001528411116737509
